st,state,carpenter_tot_emp_1997,carpenter_h_mean_1997,carpenter_TOT_EMP_2016,carpenter_H_MEAN_2016,electrician_tot_emp_1997,electrician_h_mean_1997,electrician_TOT_EMP_2016,electrician_H_MEAN_2016
AL,Alabama,10230,10.87,"8,160",17.70,9660,13.34,"9,050",22.29
AK,Alaska,2770,20.75,"2,350",33.64,1540,24.87,"1,830",39.23
AZ,Arizona,19420,12.77,"9,420",19.83,11840,14.15,"10,800",23.78
AR,Arkansas,4740,10.76,"4,670",16.74,4620,12.78,"5,620",20.45
CA,California,87630,17.32,"91,780",26.82,46830,19.46,"60,620",32.75
CO,Colorado,11860,14.55,"13,410",20.95,10250,16.1,"16,170",24.32
CT,Connecticut,7040,16.92,"6,010",25.72,7140,18.12,"6,800",27.63
DE,Delaware,2200,13.78,"1,650",22.23,2260,17.82,"1,800",27.07
DC,District of Columbia,1710,14.58,"2,190",24.43,2290,22.14,"1,110",34.59
FL,Florida,38250,11.69,"41,610",18.84,34240,12.52,"35,080",21.30
GA,Georgia,16300,11.78,"17,770",19.49,16950,14.54,"16,820",22.35
HI,Hawaii,3360,24.18,"5,190",33.15,2170,23.95,"3,890",35.95
ID,Idaho,4900,13.82,"5,010",17.70,2420,17.43,"3,660",22.97
IL,Illinois,31540,20.15,"24,720",29.99,23750,22.34,"20,330",35.17
IN,Indiana,18890,14.38,"14,280",20.81,17990,18.15,"14,560",27.73
IA,Iowa,8280,12.03,"8,180",20.26,5880,16.01,"8,000",24.98
KS,Kansas,6550,12.84,"5,560",20.11,5110,17.33,"5,680",26.52
KY,Kentucky,9770,12.25,"6,360",20.59,8080,14.56,"8,130",24.69
LA,Louisiana,9110,12.41,"11,920",18.75,8790,14.17,"10,950",24.43
ME,Maine,4140,11.42,"4,170",19.03,2550,15.23,"1,950",23.48
MD,Maryland,13320,14.29,"13,830",23.56,12840,17.02,"12,850",25.88
MA,Massachusetts,14020,18.26,"17,440",28.58,9930,19.54,"15,320",31.80
MI,Michigan,26400,15.2,"18,160",21.80,27800,20.34,"20,370",27.21
MN,Minnesota,14010,15.08,"14,600",23.73,10600,20.46,"10,590",30.94
MS,Mississippi,5110,10.79,"3,490",17.45,4970,14,"5,860",23.20
MO,Missouri,18430,16.17,"12,860",25.34,13070,18.99,"10,400",28.63
MT,Montana,2570,12.33,"4,270",19.41,1360,17.6,"2,090",29.61
NE,Nebraska,4710,11.75,"7,940",17.71,4330,15.58,"4,980",22.85
NV,Nevada,13290,17.64,"9,940",23.48,6640,21.87,"6,370",29.92
NH,New Hampshire,2920,12.9,"3,100",21.47,1920,15.01,"2,070",25.00
NJ,New Jersey,17910,20.36,"16,840",29.03,15520,22.4,"15,140",34.29
NM,New Mexico,6790,11.72,"3,770",18.39,3250,15.84,"3,720",24.16
NY,New York,35560,18.64,"48,220",29.76,36200,21.88,"40,300",35.10
NC,North Carolina,21550,11.11,"15,200",17.10,13370,12.9,"14,080",20.65
ND,North Dakota,1940,11.28,"2,370",20.05,1290,13.73,"3,920",29.33
OH,Ohio,26970,13.87,"18,990",22.20,27310,17.42,"22,650",24.86
OK,Oklahoma,5380,11.03,"4,880",19.00,4610,14.58,"6,280",23.34
OR,Oregon,12710,15.16,"12,860",22.91,9560,22.36,"7,480",32.26
PA,Pennsylvania,32550,14.73,"30,620",23.37,24060,17.85,"21,850",28.92
RI,Rhode Island,3050,14.63,"2,740",24.16,1600,17.95,"2,040",25.54
SC,South Carolina,10420,11.11,"8,380",19.02,7670,13.53,"7,520",20.94
SD,South Dakota,2240,11.16,"4,110",16.81,1350,13.74,"2,050",22.31
TN,Tennessee,14160,11.71,"6,650",18.22,13340,14.38,"10,800",22.41
TX,Texas,33750,11.77,"36,870",18.27,39300,14.65,"57,540",22.31
UT,Utah,7950,13.24,"8,990",18.66,4720,15.87,"8,510",24.95
VT,Vermont,3120,11.99,"3,130",21.48,1150,13.47,"1,140",23.32
VA,Virginia,18260,12.5,"16,890",20.20,17010,15.19,"16,680",23.74
WA,Washington,20830,17.69,"24,180",26.96,14390,20.04,"15,160",31.37
WV,West Virginia,5600,12.57,"2,890",20.40,3700,17.18,"3,590",24.85
WI,Wisconsin,18620,14.17,"15,300",24.08,11360,17.97,"10,430",27.84
WY,Wyoming,1590,13.22,"3,030",22.60,1430,16.05,"2,480",28.24
,,,,,,,,,
,,,,,,,,,
